,content
137,"Sure he may have thought he was OK about it, but sadly some of us can read body language, the rolls of the eyes and lip reading the commentary to his friends sat at the bar"
138,There wasn't really much of an improvement on the second try but I was too tired to argue.Overall poor rating based on the experience but the view is great
139,"Poor service, slow, unfriendly and made us feel as if we were an inconvenience"
140,"Food was ok, not special but perfectly fine for a set menu"
141,Glasses were never topped up willingly
142,Only got 4 glasses each in the whole 2 hours
143,Not worth the £50
144,Staff probably mean well but due to poor communication the service is terrible
145,Waited 40mins for just the food menu
146,Then waited 20mins for someone to take order..
147,Waitress had audacity to say we were in the wrong somehow instead of simply apologising
148,Not to be too politically incorrect but employing migrant workers that do not use English as their first language is not always a good idea.
149,"We went for a bottomless prosecco lunch with friends, with the only plus coming from the flowing prosecco"
150,The Niçoise salad came with no tuna
151,"When this was pointed out, a saucer of extremely poorly prepared tuna was slapped down on the table.I ordered a smoked pork starter that was a disgrace"
152,I can’t explain what it was
153,Green tasteless slop with a few saffron sized strands of pork.Three of the party ordered steak but weren’t asked how we’d like it cooked
154,"When it arrived it was dry and again, tasteless"
155,The cheese board consisted of cheap cheese straight out of the fridge.After requesting the service charge be removed from the bill the waitress said she didn’t care why we were dissatisfied.One of the worst meals and service I’ve had at a supposedly ‘fine’ restaurant
156,
157,"First of all the views of London are stunning and I wanted to pop by for a quick glass of wine on a Friday evening to show my friend the wonderful view.After waiting, and waiting at the bar I finally got served after 20 minutes.I ordered two glasses of wine (circa £7.50 each) and was told it was not available and would I like a similar Pinot Noir"
158,I agreed and was charged £25.88 for the privalidge
159,I don't really think that's on and charging 12.5% service for people getting their own drinks is frankly ridiculous.
160,I visited here at the weekend after a day in Canary Wharf
161,Whilst the view is good the novelty wears off quite quickly
162,The staff are so rude and I felt very uncomfortable
163,I didn’t like the vibe so after 30 minutes I left
164,I was really disappointed as I had been looking forward to the rooftop bar but based on my experience at the weekend I won’t be returning
165,Would not touch with a 10 foot pole
166,"Yes, the view is great (assuming you're there on a good day)"
167,But the service was painfully slow (took them 45 mins to get our food out after taking orders) and you could tell the staff would much rather be elsewhere
168,"When the food arrived, it was.."
169,below average
170,Not even average
171,"At least, that was the case for me (I had a fried salmon.."
172,"it seemed like their twist on fish and chips but the flavours were not a good combo, shall we just say)"
173,"Now if you asked my fiance, the response is more like ""the food was horrible"" because he got a terrible case of food poisoning that very evening, after the lunch we had there"
174,We didn't have anything else unusual that day so that lunch at Bokan was the likeliest culprit
175,His food poisoning was so bad he had a fever and missed two whole days of work afterwards
176,Long story short: not worth the pain and never going back again.
177,"Location and venue amazing - 5 stars - but really let down by poor bar service, particularly by one of the staff on this evening who appeared to discriminate against certain customers in favour of others"
178,"He was rude, inept and really tarnished what was a lovely night at a spectacular location"
179,What a shame.
180,"We visited Bokan as part of our stay at the Novotel.The Bar offers stunning views of the city and is modern and has a good atmosphere.We visited the bar for drinks on Saturday night and our main criticism would be that the security staff were very rude indeed.We were told that we could not go up to the roof terrace as it was closed, despite the fact that other couples and individuals were going upstairs.The last orders were around 2330"
181,"A polite and pleasant member of the bar staff approached us and asked if we wanted anything else, but then around half an hour later, the same rude bouncer approached us and abruptly said “Same goes for you guys, we close at 1am and we want you done and out”"
182,Not even an ‘excuse me’
183,"Unfortunately, this individual’s attitude ruined our experience"
184,"He was unnecessarily rude and abrupt.Other than that it was a pleasant bar with good staff, but let down by poor security."
185,Visited as part of office group and service was appalling
186,"Order was taken and laboriously handwritten onto a sheet of paper, then tsrnascripted into the order till"
187,"Bar staff are ""supposed"" to print off order and prepare and then waiting staff relay to table"
188,"Simples?! Except the wrong drinks were transposed, the bar staff didn't bother to print off order, waiting staff didn't bother to check that it had been started on even after a number of queries about delays and the non-alcoholic cocktails were served with alcohol"
189,And that was after a 55 minute wait
190,Next round marginally better - except this time the insisted on alcohol free drink (Tequila Sunrise - without tequila) taook 45 minutes to arrive
191,Lovely venue but a classic case of style over substance
192,Beyond parody
193,"Me and my friend staying at Novotel, heard great reviews on bokan"
194,When me and my friend got to the restaurant ordered our food and drinks
195,We where enjoying the amazing views with the drinks we had ordered but where still waiting for the salmon fish and sweet potato fries and Mac and cheese
196,"After 40min waiting for the food we got our mains, just couldn't believe £17 for two small pieces of salmon and small bucket of fries and my friend got his Mac and cheese which had more courgette than anything and was burnt on the sides, looked like a microwaved meal given to my friend"
197,"Really enjoyed the views but the food overpriced for small portions, i sent an email to complain but have not received any reply"
198,
199,Horrible service!!! I wais waiting for 40 minuets to order one drink when the bar was totally empty...
200,Our order could not have been less complicated
201,3 coffees with soya milk (bcause of allergy)..
202,"At first, it turned out that they just simply forgot to prepare"
203,"When I asked, we had to wait for another 30 mins and then guess what."
204,we got 3 cold coffees with normal milk!!We decided not to give 'Terrible' overall rating because after our (semi-loud) complain to the restaurant manager they re-made the coffees and also made it complimentary.
205,"Overall a poor experience, we were three mates looking for quick dinner before going out"
206,"Arrived at the restaurant on the 38th floor, there was no hostess to be seen for at least 5 minutes and no one had greeted us, so we decided to make our way to the restaurant which is a floor below, once we got there again there was no one to greet us"
207,After wondering around the restaurant a waiter appeared we asked if we could have a table for three
208,His response was you need to go back upstairs to the hostess desk and they will allocate you a table
209,Once we got upstairs there was a lady which didn't seem too happy to see
210,"Anyway she brought us to the table.Once at the table we ordered some wine and main courses, friends ordered a fish I ordered steak medium rare"
211,"Drinks arrived fast and the waitress was very good, however once the main courses arrived steak was cooked well done"
212,"I immediately said it to the waitress however her response was you asked it like this however I will change it, it took some time for my plate to be taken back to the kitchen"
213,"While I was waiting for my steak to be redone my mates were enjoying their cod which they mentioned was very good, while they were eating a team of waiters began breaking down one of the communal tables, while this was happening one of the tables fell to the floor making a load noise and getting all of the restaurant to turn around"
214,This was not an appropriate time to be breaking down tables while the restaurant was still half full
215,"There was no presence of management at all.Once my food was ready I could see it on the counter, with severel people touching it with their fingers to see if it's cooked properly"
216,(the only person touching it should be the chef).Once the food arrived waitress was very sympathetic and apologised for the mistake
217,However no manager checked if it was okay.Once my food arrived my mates were already finished their meal and we're in a rush to go
218,"Also the side of fries that was ordered with the original meal was not changed and was left on the table so once my replacement meal arrived they were already stone cold.Anyway overall poor service, limited menu, however has a lot of potential with the right management."
219,Went here a couple of days ago and has the tasting menu
220,Whilst the drinks were great and the views fabulous the food was disappointing
221,"In one dish, coffee overpowered an over cooked and underwhelming piece of veal"
222,"In another grey dish, truffle dominated a fake celeriac pasta tube"
223,It was almost universally disliked by my party
224,Dessert was a drab affair; some off-the-shelf chocolate three ways
225,"The was only one was for me, and that was towards the exit."
226,"Good afternoon Jeevan, Saturday night ."
227,24 February 
228,"we are a couple, i am Romanian by origin, British national my boyfriend is Saudi Arabian, future husband , we had celebrated our engagement and love "
229,Unfortunately we had a really bad experience from beginning at Bokan Bar 
230,"We came to the bar as we heard is a really good one .1) The location is too out of reach , it means that I have to take in consideration to locate the venue "
231,The transport is not a problem 
232,Anyway this was not the main one reason 
233,"2) The main reason why I do this review is when we got to the mini reception Bokan bar upstairs, we needed to greet the staff not her to greet us "
234,"She finished with the ex client taking care of their coats, etc, then we asked for a table, she was in rush saying i wlll find one for you next to the window"
235,"She went to find something, we were following her as we didnt know what to do, wait at reception or what / she stops at one table and start chit chat with that clients or friends "
236,"She forgot about us or what? we dont meean to be rude, but finally we asked her, excuse me could we have a table please ? the second time"
237,"she got nervous and said oh sorry about it , let me find then she starts moving "
238,"Finally she gave us a table opposite the bar , no view"
239,Then she ignores us again
240,Thats reception girl
241,3) we ordered finally our drinks and we were happy we got the table...
242,till we got water x 3 times and the drinks didn't arrive
243,We asked for the drinks but we felt completely IGNORED We were waiting more than 25 Minutes there 
244,4 ) Finally we decided to leave the place..
245,"no drinks, no customer service, nothing"
246,Most of luxury bars they serve nuts or small snack as beginning free or as from the menu and have been asked by waitress.What is missing ? The Bokan Bar is a very highly recognized Bar in London
247,"You guys are competing with the bars and hotels around you The Pearson Room , Cinnamon restaurant Hilton, Scoff and Banter in Edwardian, etc but I have never had this kind of experience nowhere in such as 4 stars bar and Hotel "
248,"I have stayed in Dubai in Novotel, in Bahrain, and other places but never had this experience in my life"
249,We travel a lot and stay in 5 stars hotels
250,I would really want to come back but the customer service destroyed our evening
251,"And not the last one , we needed to spent time to get a taxi to re arrange our night out in the same time, time , energy, not good night out , money the last .."
252,we lost 
253,I believe to get good customer service you need to have good waitress and waiters who works in team and for the same goal to achieve the highly customer service and make each customer happy in order a business to be run properly
254,if you want keep your clients and business of course 
255,That is a priority
256,very dissapointing
257,Is not the first time we are going to the bar at Novotel Canary Wharf
258,"The location and views are amazing, but the service we always find is rude and very inefficient"
259,"They seem not happy with their job, always in rush and they have no time even for say hello when you are arriving to the place"
260,"We want to have some drinks and food around canary wharf area, apparently Bokan is the highest bar/restaurant within the area so we decided to check it out.It takes 20 minutes for the staff to come to the table saying a ""Hi"" and take orders..The whole atmosphere with the service we felt no difference than going to weatherspoon or other pubs"
261,"The food was ok, takes ages to wait for our drinks"
262,No waiter or waitress come to ask if we need another drink
263,Someone finally came to clear the table after the empty plates on the table for quite long time..We decided to leave and we have to walk to the bar to ask for the bill
264,"And we paid the bill with the full service charge while we didn't felt it was worth it.Anyway, will not recommend it to any of our clients or friends."
265,"Nice view, good food, but extremely loud due to dinner party in the restaurant"
266,"At times, it was impossible to understand the people sitting in front of you"
267,"Very unfortunate, were looking forward to a nice dinner."
268,"Fantastic views from the top floor of Novotel Canary wharf, looking back towards the centre of London"
269,"Ordered 2 drinks, cider and one of their cocktails, plus chips to snack"
270,Drinks and mayonnaise/tomato sauce arrived promptly
271,"Had our drinks, no sign of chips, waited and waited, the waitress came over to take away empty drinks, said haven't you got your chips .."
272,no ..
273,"she went away, and they arrived soon after, so obviously forgotten about"
274,Bill came to £26 so expensive for 2 drinks and chips.
275,I was taken there for my birthday
276,"The restaurant was full until 9pm, and so we had to settle for the bar"
277,"The place was very dark, and finding the table was not the say (for me, anyway)"
278,"The awful din emitted by a woman squealing into a microphone (they tell me that it is singing; but it has nothing in common with Covent Garden) was so loud because, apparently, it has to carry over three floors in the building"
279,The occasional breaks which she and her organ grinders took were the best bit - I could hear what was being said to me.I was not impressed by the requirement to hand over my bank card before an order could be taken
280,"What might have been done with it while it was out of my sight was a concern, although it seems to have been all right"
281,"Clearly, this Novotel has had more than its share of dodgy customers, although how they could escape easily from the 38th floor was a mystery to me.I was assured that the food in the restaurant is better than what is available in the bar"
282,This view was shared by our waiter
283,"In my view, the meal was significantly overpricedThe views across London were certainly breathtaking but, apart from the wonderful company I was in, these were the best part of the evening"
284,If I could get into the restaurant itself on a quiet night (i.e
285,"no squealing) I might try it again, but otherwise, for me, it lies between the very disappointing and a ripoff"
286,We booked Bokan as we had visited previously and thought the place had a wow factor
287,We had our nephew and niece visiting from Switzerland and wanted to share a special evening with them
288,The evening was ruined by the woman at the front desk (Julia?) who is quite frankly the rudest person we have ever had the misfortune to encounter in any restaurant
289,Despite having received an email confirming our booking she kept us standing in the corridor for 10 mins and kept insisting that we did not have a booking!! I even showed her the email
290,She was disingenuous and disinterested
291,In the end I asked to see her booking screen and was able to locate the booking immediately
292,She had no sense of how much embarrassment and upset she was causing to us all
293,She didn’t even apologise for her error
294,Atrocious level of service from her
295,
296,I've stayed here 3 times on business
297,Each time I have taken breakfast early (served from 06:30 during weekdays)
298,"Each time the English breakfast items are cold, at best tepid"
299,"I can imagine the chef starts cooking everything around 05:00 to be ready for 06:30, then places the serving dishes under an infra red light arrangement to keep it warm"
300,"Trouble is, it doesn't work! Nothing worse than a cold clammy sausage and cold baked beans"
301,"Only thing I ate at a decent temperature was a fried egg, coz the chef cooked it while I waited!Come on Novotel, find a better solution!"
302,"While there is no doubt Bokan is a well thought out, impressive bar & restaurant, it seems the emphasis is on the initial wow factor and stops there"
303,"The service leaves a lot to be desired.We visited on a Friday afternoon, the venue was not overly busy, maybe around 30 customers"
304,"After taking a seat, we waited for someone to take our order and kept waiting"
305,"Eventually we gave up and attempted ordering at the bar, but we were completely ignored by the staff"
306,"After returning to the table we were finally able to place an order, 40 minutes after arriving.There seemed to be one bar man with responsibility for making drinks, meaning we waited a further 20 minutes on our drinks coming.We decided to order another round, and this time we're helped by a very friendly and helpful member of staff who was happy to answer our questions regarding the drinks list"
307,"The list looks great and you are really spoiled for choice.A separate member of staff then came back to us informing that two out of the three ingredients from our Negronis were not available.Bokan is not short of staff, with around 8 staff on the floor at the time of our visit"
308,"However they were not not overly interested in serving us with a couple leant over the bar on their phones for the duration of our visit.This bar has the potential to be one of the best in the area, with fantastic views over London"
309,But it is hugely let down by lack of service.
310,We booked a table for 9 people at this venue backed by the mighty Novotel brand
311,I mentioned on a telephone conversation the reason for the booking (birthday celebration for my wife and other friends) and that we were bringing a cake
312,The person on the phone didn’t make any reference to any “policy” regarding this.On arrival we were first treated quite rudely because we were 15 min late
313,They lied to me in saying that they called me to see if we were coming and that because they couldn’t talk to me they cancelled my reservation
314,"However, after a while, they “magnanimously found a table for us”"
315,"When we arrived to the table, we were told that they were going to charge us ridiculous 5GBP per person for having a cake of our own"
316,"We said that we were willing to consume on drinks much more than that ridiculous amount which would not even equate to the price of a bottle of Champagne, and we were willing to consume several of those"
317,"The staff was totally unhelpful and unwilling to compromise to avoid ruining our celebrations, even after speaking to “the manager”, who we suspect wasn’t the real manager.Because there is plenty of venues in Canary Wharf, we simply decided to leave and have our cake and plenty of drinks somewhere else"
318,All I can say is that a view is nothing if you have such an appealing behaviour to your customers.
319,Have been here twice just for coffee but the level of service has been appalling both times
320,"First outing it took ages for someone to come to our table , though the place was quite"
321,When the coffees came they were tepid at best
322,Next time I tried to order 2 coffees at the bar from one of waiters but he seemed to just look at me as if it was beyond him and pointed to his colleague saying he would make then and then just walked off without telling his colleague
323,Then I waited and waited and nothing so I gave up
324,That's a just a coffee God knows what happens when you have a meal there I hate to think....
325,
326,"Yes the views are amazing, yes the cocktails are good but these mean nothing if the service does not live up to the expectations"
327,Their booking policy for the terrace appears to be simply untruthful and misleading
328,It's understandable that during good weather it will be busy
329,What is unacceptable is when you ask them to book they say that the system is blocked
330,Even if you say that you will call later they say that you cannot book and that you will have to walk in early
331,"You walk in early and surprise surprise, everything is already booked for the day! So basically they will not tell you that they are fully booked and you're lured in by the hope that there will be availability"
332,This might seem like a small detail to some but the lack of decency and honesty are definitely things that will stop me from going to this place again.
333,We paid two visits to bokan on Saturday first around 7:30pm where we were directed to the bar on the top floor this was fine and the barman prepared two rounds of three drinks as my brother came to meet us before we headed out for a meal
334,"The cocktails were good and the service was too however when we walked over to the roof terrace to take in the views where no one was sat because of the incremental weather it felt like the security had joined our party, on taking a picture on my phone of the skyline I turned and almost bumped into one of them who was so close behind me.We sat on a dry table to finish up our drinks whilst being stared at and by that time was ready to go.We went for our meal and returned around eleven.This time we were greated well and politely taken to a table on the lower level the guy was very nice and explained that if a booked table wasn't claimed in the next ten minutes we could have that as it had better views.We chose a cocktail each this time just the two of us and I went to the bar.The whole ambience of the place had changed staff felt very cold and unwelcoming and stressed"
335,We had another round and headed up to see the now darkened skyline where we were actually followed up the stairs out onto the terrace
336,To add to this upon looking at my receipts I have been overcharged on three of the four rounds and a service charge added even though I went to the bar for every drink.I am in no way a penny pincher but why have I been overcharged and what service am I paying for? There didn't seem to be any chance of a waitered service in the bar.I stayed at the hotel and the room was excellent.
337,"Recently I've discovered this place and decided to bring different friends to have drinks here and spend some time together over a nice prosecco glass!This place is split on 2 floors of which both have an internal part, with just the top floor having also a roof terrace"
338,It's at the 48th floor
339,"The majority of the internal design is made of wood and pastel fabric, with big cushions, chairs, and a stunning view! Literally you can see all of London!! I have the feeling of being in a winter cottage in the Alps, but with the view of being in a modern side of New York! I absolutely love it"
340,"The restrooms are also very nice and clean, and while washing your hands you still have the opportunity of looking outside and admire the view- yes from the restroom! A Big, enormous glass will give you this!The only downside that I've found every time I visited this place and spent money from the Bar, that I'm starting to be seriously annoyed by it - is that when you sit down even before you ask for drinks, they say ""you can be here just for 1 hour"" even when there is no message on the table saying ""reserved!"""
341,"The best part is that after one hour NO one comes to tell you ""hey you need to move!"""
342,Honestly they just need to try and tell me that - they would have no idea of how I would react
343,"I find pretty frustrating that in a rich and expensive place like this, they could have the authority to make me move because someone else needs to sit! If the manager reads this - I have enough money to stay there for hours and hours to drink and eat and I would like to be treated with the respect I deserve as a paying customer!! I really like this place, but the service and attitude I've received every time I visited this place, is disappointing"
344,Please improve
345,Value on the view: 10/10Value of the service: not applicableGeneral value: 7/10 
346,"Went for a friends birthday, and the surroundings, ambiance, and stunning views of London seemed like the ideal scene to have some drinks and celebrate"
347,"There were only 3 of us, and the staff seem friendly, the drinks kept coming, and we was having a great time"
348,"My friend accidentally knocked a drink over, and within 2 minutes the manager came over and said that security was watching us and to calm down"
349,(Knocking the drink over may have been coincidence)
350,"We were having a great time before this and would have easily stayed in there until closing, and spent a lot more money, but this made us want to leave straight away"
351,"The gentlemen could have come over to make sure we was good if he had a concern, or seen if we needed anything, but it felt like because security said something to him, he came over as the man, and told us to calm down"
352,It put us off and I don't think we will be going back
353,"There are enough rooftop bars in London, which are cheaper as well, and you won't get accused of anything either"
354,How one person can ruin a night!!!! 
355,Stayed at the Novotel with my family for three nights
356,Visited Bokan on the Friday night and it's clearly a popular venue for the beautiful people
357,"However, on our last night I asked reception if it was ok to take my son up to the bar to see the London skyline, as it's spectacular"
358,No problem he said.We went up to the 38th floor to be met by a young woman behind the desk who said if reception said it was fine to let a 12 year old in then it was fine
359,Juan behind the bar had other ideas
